Image,True Label,Top1_Label,Top1_Prob,Top2_Label,Top2_Prob,Top3_Label,Top3_Prob,Top4_Label,Top4_Prob,Top5_Label,Top5_Prob,Rank
animal_crossing_0.png,animal crossing,slippery road,0.3483792653983456,steep descent,0.3466503388154887,steep ascent,0.19160102568382265,give way,0.057212110787197866,animal crossing,0.029125981491240977,5
animal_crossing_1.png,animal crossing,steep descent,0.3944575049172223,animal crossing,0.35842190343147673,steep ascent,0.11021035982372368,slippery road,0.07761713458683113,give way,0.04569102234796517,2
animal_crossing_10.png,animal crossing,animal crossing,0.9903583758450236,school zone,0.008298834755254276,railway crossing,0.0008465672125330445,give way,0.0002987745376384706,dip,9.445893311470034e-05,1
animal_crossing_2.png,animal crossing,steep descent,0.9120963030026016,steep ascent,0.07353268949282277,animal crossing,0.014086647675914072,give way,0.00016414162038406557,width limit,3.3998162655344606e-05,3
animal_crossing_3.png,animal crossing,animal crossing,0.9538230590713987,slippery road,0.014815640044658362,railway crossing,0.008524268404180566,steep descent,0.008360581857834967,give way,0.005416073008122329,1
animal_crossing_4.png,animal crossing,animal crossing,0.9905000290571594,school zone,0.005573463914823739,give way,0.002320458758617482,railway crossing,0.0011373281347472034,dip,0.0001997074257234616,1
animal_crossing_5.png,animal crossing,animal crossing,0.8775899872523448,give way,0.08255369194062855,railway crossing,0.01580229948482632,school zone,0.014464075783145538,gas station,0.00225205191813132,1
animal_crossing_6.png,animal crossing,animal crossing,0.93031811305438,school zone,0.05335401216276653,road work ahead,0.0033369230092881235,slippery road,0.0031190687165120125,pedestrian crossing,0.0029812931461907608,1
animal_crossing_7.png,animal crossing,animal crossing,0.8015040733921402,give way,0.07395852302425199,school zone,0.062231445469112114,railway crossing,0.04183415896443275,bumpy road,0.007501558051047576,1
animal_crossing_8.png,animal crossing,animal crossing,0.9258615134804022,gas station,0.03852797358625396,dip,0.011188705108741303,hospital,0.010384459019767606,right turn,0.005530650005397501,1
animal_crossing_9.png,animal crossing,animal crossing,0.9939915028839981,school zone,0.00462217856051624,railway crossing,0.0005993749237564186,give way,0.0005975939543662747,dip,9.130241528802157e-05,1
bumpy_road_0.png,bumpy road,railway crossing,0.6872763683484968,give way,0.22980492837750374,bumpy road,0.03946080675680024,slippery road,0.01484809805746414,width limit,0.012626518687549892,3
bumpy_road_1.png,bumpy road,steep descent,0.8459162505042632,steep ascent,0.14285458505642848,bumpy road,0.005060683448240212,give way,0.003877869443009134,slippery road,0.0009569792290224779,3
bumpy_road_10.png,bumpy road,steep ascent,0.5581569260945555,steep descent,0.38398662237289183,railway crossing,0.031106012876063707,slippery road,0.012177165253747685,give way,0.004920948168099031,-1
bumpy_road_11.png,bumpy road,give way,0.6680321191077586,bumpy road,0.19989005507333293,railway crossing,0.1208847115690842,slippery road,0.006167504049992257,no overtaking,0.0015067851597815073,2
