Image,True Label,Top1_Label,Top1_Prob,Top2_Label,Top2_Prob,Top3_Label,Top3_Prob,Top4_Label,Top4_Prob,Top5_Label,Top5_Prob,Rank
animal_crossing_000.png,animal crossing,animal crossing,0.9999548445805131,stop,1.4089252654354378e-05,cross road,1.1739927521343568e-05,round about,6.948759531466479e-06,bumpy road,3.6420070516458384e-06,1
animal_crossing_001.png,animal crossing,animal crossing,0.9989289510976597,cross road,0.00012074293587704007,steep ascent,0.00012064356040283333,pedestrian crossing,0.0001204129404052754,steep descent,0.00012022971521329274,1
animal_crossing_002.png,animal crossing,animal crossing,0.999999991622358,cross road,8.08220511702174e-09,speed limit,8.870802531605493e-11,no entry for vehicles,5.8100482755213035e-11,cycle crossing,4.569079606472966e-11,1
animal_crossing_003.png,animal crossing,animal crossing,0.9999155888383907,stop,6.420442039853602e-05,cross road,7.4507860740716556e-06,round about,5.3850630517489705e-06,bumpy road,1.336247007124379e-06,1
animal_crossing_004.png,animal crossing,animal crossing,0.9158182769145812,pedestrian crossing,0.009541532931271537,cross road,0.009525259633581414,steep ascent,0.009523966735103227,steep descent,0.009522366732010153,1
animal_crossing_005.png,animal crossing,animal crossing,0.9999999950726811,cross road,2.7503189256546863e-09,bumpy road,2.91406646425701e-10,road work ahead,2.910499512332519e-10,cycle crossing,2.782466019561448e-10,1
animal_crossing_006.png,animal crossing,animal crossing,0.9462888044953515,steep ascent,0.006252110475049271,steep descent,0.006248375697146265,pedestrian crossing,0.006236342889900924,cross road,0.00621998025935913,1
animal_crossing_007.png,animal crossing,animal crossing,0.9999982331611302,cross road,3.6752591614505653e-07,road work ahead,1.852320620378381e-07,bumpy road,1.8484095452387159e-07,steep ascent,1.8425243791658242e-07,1
animal_crossing_008.png,animal crossing,animal crossing,0.9999999978694439,cross road,2.094208678943489e-09,no entry for vehicles,6.640535421808908e-12,cycle crossing,5.92253245819596e-12,bumpy road,5.820877357042222e-12,1
animal_crossing_009.png,animal crossing,animal crossing,0.9999999962214808,cross road,3.5451196124441967e-09,bumpy road,4.2163614099388496e-11,road work ahead,4.216059128521782e-11,cycle crossing,2.968289582190353e-11,1
bumpy_road_000.png,bumpy road,bumpy road,0.10252166353864292,steep ascent,0.10225679966450071,steep descent,0.10220947456563069,cross road,0.10219114219884719,animal crossing,0.10219094804148746,1
bumpy_road_001.png,bumpy road,bumpy road,0.10001161959067922,steep ascent,0.09994592336054407,steep descent,0.09992564071378315,cross road,0.09990394123105384,animal crossing,0.09990392810491967,1
bumpy_road_002.png,bumpy road,railway crossing,0.11236698809406004,bumpy road,0.09608108807113769,steep ascent,0.09607964280593093,steep descent,0.09607955963629282,animal crossing,0.09607938907842259,2
bumpy_road_003.png,bumpy road,bumpy road,0.1046244129052449,steep ascent,0.10460971833852811,steep descent,0.10460816978431714,cross road,0.10460709652168443,animal crossing,0.10460709159694478,1
bumpy_road_004.png,bumpy road,bumpy road,0.10041358578501595,steep ascent,0.09936837484994862,steep descent,0.09931438303903861,cross road,0.09929516676219578,animal crossing,0.09929511463180252,1
bumpy_road_005.png,bumpy road,railway crossing,0.15071602923606794,bumpy road,0.0914818200565959,steep ascent,0.09105697957326873,steep descent,0.09105390142813052,cross road,0.09105045375005201,2
bumpy_road_006.png,bumpy road,bumpy road,0.10435617099333751,steep ascent,0.09757518534716945,steep descent,0.09710429402932508,cross road,0.09658780945521943,animal crossing,0.09658110230883678,1
bumpy_road_007.png,bumpy road,bumpy road,0.10058805805844875,steep ascent,0.10052461216393997,steep descent,0.10052367263356687,cross road,0.10052323759386536,animal crossing,0.10052322256734841,1
bumpy_road_008.png,bumpy road,bumpy road,0.0974577280119977,steep ascent,0.0974039754807094,steep descent,0.09739576353065207,cross road,0.09738928929412724,animal crossing,0.09738923005428729,1
bumpy_road_009.png,bumpy road,bumpy road,0.09812429101752665,steep ascent,0.09805053538879403,steep descent,0.09803527089799104,cross road,0.0980229511094398,animal crossing,0.09802287692317181,1
cross_road_000.png,cross road,cross road,0.7930548549795523,railway crossing,0.030159511932465716,bumpy road,0.02108706815451374,animal crossing,0.020699698447320537,steep ascent,0.02069489660864488,1
cross_road_001.png,cross road,cross road,0.8394900578374457,railway crossing,0.027718383133886172,animal crossing,0.01600039746306257,bumpy road,0.01599838318262746,cycle crossing,0.015974932551754122,1
cross_road_002.png,cross road,cross road,0.7143180106017236,railway crossing,0.05050421503303781,bumpy road,0.027901088551611,animal crossing,0.027843686233171724,cycle crossing,0.027838133877268675,1
